Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
473,Rúben Vinagre,pt POR,DFMF,Everton,23-300,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
474,Carlos Vinícius,br BRA,FW,Fulham,27-315,1995,4.7,1,8,4,50,1.69,0.84,0.13,0.25,12,0,0,0,1.1,1.1,0.13,-0.1,-0.1
475,Theo Walcott,eng ENG,FWMF,Southampton,33-324,1989,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
476,Kyle Walker,eng ENG,DF,Manchester City,32-251,1990,7.8,0,2,0,0,0.26,0,0,,21.7,0,0,0,0.3,0.3,0.17,-0.3,-0.3
477,Kyle Walker-Peters,eng ENG,DF,Southampton,25-296,1997,15.6,1,6,2,33.3,0.39,0.13,0.17,0.5,15.6,0,0,0,0.7,0.7,0.12,0.3,0.3
478,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-069,1997,5.8,0,1,0,0,0.17,0,0,,25.9,0,0,0,0,0,0.04,0,0
479,Danny Ward,wls WAL,GK,Leicester City,29-226,1993,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
480,Joel Ward,eng ENG,DF,Crystal Palace,33-097,1989,14.4,0,1,0,0,0.07,0,0,,16.3,0,0,0,0,0,0.03,0,0
481,James Ward-Prowse,eng ENG,MF,Southampton,28-094,1994,20,5,21,9,42.9,1.05,0.45,0.24,0.56,25.6,9,0,1,2.6,1.6,0.08,2.4,3.4
482,Ollie Watkins,eng ENG,FW,Aston Villa,27-035,1995,17.1,4,39,19,48.7,2.28,1.11,0.1,0.21,11.3,0,0,0,5.9,5.9,0.16,-1.9,-1.9
483,Adam Webster,eng ENG,DF,Brighton,28-030,1995,13,0,13,1,7.7,1,0.08,0,0,11.7,0,0,0,1.3,1.3,0.1,-1.3,-1.3
484,Wout Weghorst,nl NED,FW,Manchester Utd,30-180,1992,1.8,0,1,0,0,0.57,0,0,,12.1,0,0,0,0.1,0.1,0.11,-0.1,-0.1
485,Danny Welbeck,eng ENG,FW,Brighton,32-069,1990,12.1,1,29,11,37.9,2.4,0.91,0.03,0.09,13.2,0,0,0,4.3,4.3,0.15,-3.3,-3.3
486,Ben White,eng ENG,DF,Arsenal,25-118,1997,16.8,0,5,0,0,0.3,0,0,,19.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
487,Harvey White,eng ENG,MF,Tottenham,21-137,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
488,Neco Williams,wls WAL,DF,Nott'ham Forest,21-296,2001,12.5,0,19,5,26.3,1.52,0.4,0,0,22,2,0,0,0.9,0.9,0.05,-0.9,-0.9
489,Willian,br BRA,FW,Fulham,34-178,1988,11.8,2,20,9,45,1.7,0.76,0.1,0.22,16,0,0,0,2.2,2.2,0.11,-0.2,-0.2
490,Joe Willock,eng ENG,MF,Newcastle Utd,23-167,1999,16.5,2,32,9,28.1,1.94,0.55,0.06,0.22,17.6,0,0,0,3.3,3.3,0.1,-1.3,-1.3
491,Callum Wilson,eng ENG,FW,Newcastle Utd,30-341,1992,11.5,6,38,15,39.5,3.29,1.3,0.13,0.33,12,0,1,1,7.3,6.6,0.17,-1.3,-1.6
492,Harry Wilson,wls WAL,FW,Fulham,25-318,1997,3.7,0,8,1,12.5,2.18,0.27,0,0,15.1,0,0,0,1.1,1.1,0.13,-1.1,-1.1
493,Yoane Wissa,cd COD,FW,Brentford,26-153,1996,9.4,4,20,8,40,2.13,0.85,0.2,0.5,14.7,0,0,0,3,3,0.15,1,1
494,Maximilian Wöber,at AUT,DF,Leeds United,24-364,1998,1.3,0,3,0,0,2.35,0,0,,21.1,1,0,0,0.2,0.2,0.06,-0.2,-0.2
495,Chris Wood,nz NZL,FW,Newcastle Utd,31-058,1991,5,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,1.8,1,0.13,0.2,0
496,Chris Wood,nz NZL,FW,Nott'ham Forest,31-058,1991,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
497,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-024,1997,13,0,4,0,0,0.31,0,0,,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
498,Granit Xhaka,ch SUI,MF,Arsenal,30-129,1992,18,3,21,5,23.8,1.17,0.28,0.14,0.6,19.3,3,0,0,2,2,0.09,1,1
499,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-074,1997,15.5,0,25,5,20,1.62,0.32,0,0,16.9,0,0,0,2.2,2.2,0.09,-2.2,-2.2
500,Ashley Young,eng ENG,DF,Aston Villa,37-209,1985,12.6,1,7,2,28.6,0.56,0.16,0.14,0.5,26.8,0,0,0,0.2,0.2,0.03,0.8,0.8
501,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-085,1992,18.5,6,39,16,41,2.11,0.87,0.15,0.38,17.6,0,0,2,5.1,3.3,0.09,0.9,2.7
502,Denis Zakaria,ch SUI,MF,Chelsea,26-075,1996,3.2,0,2,0,0,0.63,0,0,,16.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2
503,Jordan Zemura,zw ZIM,DF,Bournemouth,23-081,1999,11.5,0,2,0,0,0.17,0,0,,9.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2
504,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-050,1996,10,0,8,2,25,0.8,0.2,0,0,19.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7
505,Hakim Ziyech,ma MAR,FWMF,Chelsea,29-321,1993,4.8,0,10,2,20,2.1,0.42,0,0,20.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5
506,Kurt Zouma,fr FRA,DF,West Ham,28-099,1994,14.2,1,11,3,27.3,0.78,0.21,0.09,0.33,10.8,0,0,0,1.1,1.1,0.1,-0.1,-0.1
507,Martin Ødegaard,no NOR,MF,Arsenal,24-048,1998,16.9,8,48,15,31.3,2.85,0.89,0.17,0.53,19,5,0,0,5.5,5.5,0.11,2.5,2.5
